ride_length,Conteo_ridelength,member_casual
00:02:08,552,casual
00:02:08,2169,member
00:02:09,576,casual
00:02:09,2173,member
00:02:10,543,casual
00:02:10,2202,member
00:02:11,569,casual
00:02:11,2281,member
00:02:12,552,casual
00:02:12,2239,member
00:02:13,590,casual
00:02:13,2235,member
00:02:14,631,casual
00:02:14,2336,member
00:02:15,610,casual
00:02:15,2368,member
00:02:16,578,casual
00:02:16,2375,member
00:02:17,599,casual
00:02:17,2442,member
00:02:18,591,casual
00:02:18,2387,member
00:02:19,592,casual
00:02:19,2421,member
00:02:20,596,casual
00:02:20,2419,member
00:02:21,648,casual
00:02:21,2488,member
00:02:22,650,casual
00:02:22,2509,member
00:02:23,649,casual
00:02:23,2544,member
00:02:24,644,casual
00:02:24,2633,member
00:02:25,708,casual
00:02:25,2590,member
00:02:26,673,casual
00:02:26,2625,member
00:02:27,681,casual
00:02:27,2674,member
00:02:28,761,casual
00:02:28,2598,member
00:02:29,682,casual
00:02:29,2775,member
00:02:30,698,casual
00:02:30,2785,member
00:02:31,725,casual
00:02:31,2833,member
00:02:32,696,casual
00:02:32,2747,member
00:02:33,717,casual
00:02:33,2819,member
00:02:34,709,casual
00:02:34,2834,member
00:02:35,717,casual
00:02:35,2831,member
00:02:36,787,casual
00:02:36,2775,member
00:02:37,749,casual
00:02:37,2890,member
00:02:38,774,casual
00:02:38,2852,member
00:02:39,763,casual
00:02:39,2901,member
00:02:40,822,casual
00:02:40,2961,member
00:02:41,767,casual
00:02:41,3011,member
00:02:42,774,casual
00:02:42,3035,member
00:02:43,814,casual
00:02:43,3085,member
00:02:44,817,casual
00:02:44,3044,member
00:02:45,758,casual
00:02:45,3026,member
00:02:46,838,casual
00:02:46,3300,member
00:02:47,871,casual
00:02:47,3127,member
00:02:48,838,casual
00:02:48,3001,member
00:02:49,865,casual
00:02:49,3159,member
00:02:50,914,casual
00:02:50,3177,member
00:02:51,907,casual
00:02:51,3236,member
00:02:52,883,casual
00:02:52,3132,member
00:02:53,894,casual
00:02:53,3347,member
00:02:54,933,casual
00:02:54,3240,member
00:02:55,948,casual
00:02:55,3286,member
00:02:56,924,casual
00:02:56,3291,member
00:02:57,952,casual
00:02:57,3263,member
00:02:58,939,casual
00:02:58,3432,member
00:02:59,877,casual
00:02:59,3303,member
00:03:00,901,casual
00:03:00,3373,member
00:03:01,933,casual
00:03:01,3364,member
00:03:02,969,casual
00:03:02,3415,member
00:03:03,974,casual
00:03:03,3510,member
00:03:04,991,casual
00:03:04,3537,member
00:03:05,967,casual
00:03:05,3478,member
00:03:06,987,casual
00:03:06,3584,member
00:03:07,931,casual
00:03:07,3454,member
00:03:08,1042,casual
00:03:08,3471,member
00:03:09,1062,casual
00:03:09,3608,member
00:03:10,1029,casual
00:03:10,3610,member
00:03:11,1027,casual
00:03:11,3572,member
00:03:12,1016,casual
00:03:12,3662,member
00:03:13,1058,casual
00:03:13,3657,member
00:03:14,1006,casual
00:03:14,3596,member
00:03:15,1088,casual
00:03:15,3540,member
00:03:16,1064,casual
00:03:16,3737,member
00:03:17,1082,casual
00:03:17,3688,member
00:03:18,1038,casual
00:03:18,3744,member
00:03:19,1131,casual
00:03:19,3794,member
00:03:20,1156,casual
00:03:20,3723,member
00:03:21,1142,casual
00:03:21,3793,member
00:03:22,1112,casual
00:03:22,3822,member
00:03:23,1084,casual
00:03:23,3825,member
00:03:24,1167,casual
00:03:24,3805,member
00:03:25,1079,casual
00:03:25,3807,member
00:03:26,1160,casual
00:03:26,3907,member
00:03:27,1144,casual
00:03:27,3918,member
00:03:28,1123,casual
00:03:28,3940,member
00:03:29,1166,casual
00:03:29,3780,member
00:03:30,1182,casual
00:03:30,3971,member
00:03:31,1186,casual
00:03:31,3825,member
00:03:32,1205,casual
00:03:32,3807,member
00:03:33,1171,casual
00:03:33,3949,member
00:03:34,1149,casual
00:03:34,4107,member
00:03:35,1211,casual
00:03:35,3968,member
00:03:36,1194,casual
00:03:36,3971,member
00:03:37,1276,casual
00:03:37,3940,member
00:03:38,1301,casual
00:03:38,3998,member
00:03:39,1277,casual
00:03:39,3987,member
00:03:40,1248,casual
00:03:40,3919,member
00:03:41,1301,casual
00:03:41,4142,member
00:03:42,1245,casual
00:03:42,4039,member
00:03:43,1294,casual
00:03:43,4055,member
00:03:44,1323,casual
00:03:44,4158,member
00:03:45,1313,casual
00:03:45,4090,member
00:03:46,1356,casual
00:03:46,3971,member
00:03:47,1275,casual
00:03:47,4092,member
00:03:48,1386,casual
00:03:48,4190,member
00:03:49,1349,casual
00:03:49,4046,member
00:03:50,1362,casual
00:03:50,4068,member
00:03:51,1327,casual
00:03:51,4152,member
00:03:52,1309,casual
00:03:52,4111,member
00:03:53,1423,casual
00:03:53,4123,member
00:03:54,1359,casual
00:03:54,4192,member
00:03:55,1400,casual
00:03:55,4108,member
00:03:56,1406,casual
00:03:56,4139,member
00:03:57,1388,casual
00:03:57,4195,member
00:03:58,1424,casual
00:03:58,4162,member
00:03:59,1373,casual
00:03:59,4152,member
00:04:00,1382,casual
00:04:00,4161,member
00:04:01,1436,casual
00:04:01,4223,member
00:04:02,1417,casual
00:04:02,4220,member
00:04:03,1373,casual
00:04:03,4157,member
00:04:04,1396,casual
00:04:04,4134,member
00:04:05,1447,casual
00:04:05,4237,member
00:04:06,1447,casual
00:04:06,4245,member
00:04:07,1372,casual
00:04:07,4251,member
00:04:08,1418,casual
00:04:08,4168,member
00:04:09,1414,casual
00:04:09,4301,member
00:04:10,1471,casual
00:04:10,4284,member
00:04:11,1448,casual
00:04:11,4355,member
00:04:12,1549,casual
00:04:12,4218,member
00:04:13,1561,casual
00:04:13,4368,member
00:04:14,1462,casual
00:04:14,4271,member
00:04:15,1467,casual
00:04:15,4229,member
00:04:16,1461,casual
00:04:16,4253,member
00:04:17,1476,casual
00:04:17,4229,member
00:04:18,1477,casual
00:04:18,4369,member
00:04:19,1488,casual
00:04:19,4232,member
00:04:20,1620,casual
00:04:20,4429,member
00:04:21,1535,casual
00:04:21,4194,member
00:04:22,1517,casual
00:04:22,4306,member
00:04:23,1515,casual
00:04:23,4324,member
00:04:24,1609,casual
00:04:24,4245,member
00:04:25,1562,casual
00:04:25,4329,member
00:04:26,1510,casual
00:04:26,4269,member
00:04:27,1566,casual
00:04:27,4276,member
00:04:28,1582,casual
00:04:28,4235,member
00:04:29,1532,casual
00:04:29,4174,member
00:04:30,1607,casual
00:04:30,4226,member
00:04:31,1570,casual
00:04:31,4240,member
00:04:32,1581,casual
00:04:32,4254,member
00:04:33,1560,casual
00:04:33,4211,member
00:04:34,1543,casual
00:04:34,4410,member
00:04:35,1583,casual
00:04:35,4243,member
00:04:36,1675,casual
00:04:36,4122,member
00:04:37,1670,casual
00:04:37,4293,member
00:04:38,1657,casual
00:04:38,4265,member
00:04:39,1635,casual
00:04:39,4233,member
00:04:40,1596,casual
00:04:40,4207,member
00:04:41,1510,casual
00:04:41,4188,member
00:04:42,1613,casual
00:04:42,4249,member
00:04:43,1624,casual
00:04:43,4348,member
00:04:44,1590,casual
00:04:44,4372,member
00:04:45,1550,casual
00:04:45,4291,member
00:04:46,1639,casual
00:04:46,4340,member
00:04:47,1680,casual
00:04:47,4102,member
00:04:48,1695,casual
00:04:48,4215,member
00:04:49,1608,casual
00:04:49,4339,member
00:04:50,1650,casual
00:04:50,4303,member
00:04:51,1658,casual
00:04:51,4251,member
00:04:52,1679,casual
00:04:52,4370,member
00:04:53,1710,casual
00:04:53,4179,member
00:04:54,1582,casual
00:04:54,4187,member
00:04:55,1650,casual
00:04:55,4283,member
00:04:56,1593,casual
00:04:56,4234,member
00:04:57,1688,casual
00:04:57,4219,member
00:04:58,1644,casual
00:04:58,4168,member
00:04:59,1658,casual
00:04:59,4201,member
00:05:00,1620,casual
00:05:00,4219,member
00:05:01,1721,casual
00:05:01,4273,member
00:05:02,1704,casual
00:05:02,4148,member
00:05:03,1801,casual
00:05:03,4223,member
00:05:04,1763,casual
00:05:04,4133,member
00:05:05,1635,casual
00:05:05,4298,member
00:05:06,1784,casual
00:05:06,4315,member
00:05:07,1744,casual
00:05:07,4116,member
00:05:08,1707,casual
00:05:08,4196,member
00:05:09,1675,casual
00:05:09,4208,member
00:05:10,1791,casual
00:05:10,4248,member
00:05:11,1740,casual
00:05:11,4218,member
00:05:12,1735,casual
00:05:12,4153,member
00:05:13,1767,casual
00:05:13,4115,member
00:05:14,1758,casual
00:05:14,4074,member
00:05:15,1724,casual
00:05:15,4225,member
00:05:16,1756,casual
00:05:16,4137,member
00:05:17,1772,casual
00:05:17,4144,member
00:05:18,1729,casual
00:05:18,4230,member
00:05:19,1778,casual
00:05:19,4234,member
00:05:20,1745,casual
00:05:20,4162,member
00:05:21,1751,casual
00:05:21,4208,member
00:05:22,1786,casual
00:05:22,4161,member
00:05:23,1879,casual
00:05:23,4266,member
00:05:24,1815,casual
00:05:24,4290,member
00:05:25,1733,casual
00:05:25,4206,member
00:05:26,1748,casual
00:05:26,4217,member
00:05:27,1688,casual
00:05:27,4176,member
00:05:28,1737,casual
00:05:28,4023,member
00:05:29,1853,casual
00:05:29,4085,member
00:05:30,1797,casual
00:05:30,4050,member
00:05:31,1801,casual
00:05:31,4164,member
00:05:32,1717,casual
00:05:32,4172,member
00:05:33,1868,casual
00:05:33,4096,member
00:05:34,1760,casual
00:05:34,4145,member
00:05:35,1853,casual
00:05:35,4069,member
00:05:36,1829,casual
00:05:36,4006,member
